"617","Flying J Travel Plaza","Lodi","CA","I-5/Hwy 12 Exit Fairfield","$2.199","$2.399","$2.599","$3.199","$2.599","$2.799","12","B10"
"154","Pilot Travel Center","Lost Hills","CA","I-5 & SR 46","$2.199","$2.399","$2.599","","$2.599","$2.799","7","B13"
"365","Pilot Travel Center","Madera","CA","I-99 at Ave 18.5","$2.259","$2.459","$2.659","$2.899","$2.599","$2.799","12","B13"
"307","Pilot Travel Center","North Palm Springs","CA","I-10 Garnet / Indian Ave","$2.399","$2.599","$2.799","","$2.599","$2.799","6","B13"
"618","Flying J Travel Plaza","Ripon","CA","Hwy 99 Exit JackToneRd","$2.239","$2.439","$2.639","$2.799","$2.599","$2.799","12","B10"
"879","Pilot Travel Center","Sacramento","CA","I-80, Exit 85","","","","","$2.699","$2.999","7",""
"237","Pilot Travel Center","Salinas","CA","US 101 & Sanborn","$2.259","$2.459","$2.659","","$2.699","$2.999","6","B13"
"343","Pilot Travel Center","San Diego","CA","I-805, Exit 1B, CA 905","$2.499","$2.699","$2.899","","$2.859","$2.999","8","B16"
"765","Flying J Travel Plaza","Thousand Palms","CA","I-10 Bob Hope Exit","$2.399","$2.599","$2.799","$3.099","$2.599","$2.799","10"," "
"137","Pilot Travel Center","Weed","CA","I-5, Exit 745","$2.659","$2.859","$3.059","$2.999","$2.599","$2.799","8","B8"
"619","Flying J Travel Plaza","Aurora","CO","I-70 Exit 285 (South)","$1.739","$1.939","$2.139","$2.999","$2.239","$2.799","12",""
"316","Pilot Travel Center","Denver","CO","I-70, Exit 276A","$1.699","$1.899","$2.099","","$2.239","$2.799","9",""
"592","Pilot Travel Center","Grand Junction","CO","I-70, Exit 26","$1.899","$2.099","$2.299","$2.999","$2.139","$2.799","8",""
"621","Flying J Travel Plaza","Limon","CO","I-70 & Exit 359","$1.899","$2.099","$2.299","$2.999","$2.239","$2.799","8",""
"255","Pilot Travel Center","Milford","CT","I-95, Exit 40","$2.079","$2.279","$2.479","","$2.499","$2.899","8",""
"882","Pilot Travel Center","North Stonington","CT","I-95, Exit 93","","","","","$2.499","","",""
"87","Pilot Travel Center","Baldwin","FL","I-10, Exit 343","$1.959","$2.159","$2.359","","$2.359","$2.799","6","B5"
"88","Pilot Travel Center","Cocoa","FL","I-95, Exit 201","$1.999","$2.199","$2.399","","$2.459","","","B20"
